name,gen t,loc_x,loc_y,store,store_x,store_y,p2,cook_time,cook_time_type,cook_time_s,cook_time_e,service_time
0,0,30,37,9,13,32,17.72,7.7114,uncertainty,7,1,4
1,1.1,45,0,5,18,25,36.7967,7.3111,uncertainty,7,1,9
2,2.2,0,28,9,13,32,13.6015,6.2571,uncertainty,7,1,2
3,3.3,26,43,1,20,30,14.3178,8.9579,uncertainty,7,1,6
4,4.4,42,2,16,37,33,31.4006,7.361,uncertainty,7,1,9
5,5.5,18,30,14,36,39,20.1246,7.1551,uncertainty,7,1,3
6,6.6,49,17,16,37,33,20,6.2859,uncertainty,7,1,2
7,7.7,25,45,11,23,13,32.0624,6.6137,uncertainty,7,1,9
8,8.8,41,14,9,13,32,33.2866,6.5344,uncertainty,7,1,10
9,9.9,44,36,12,21,29,24.0416,6.5582,uncertainty,7,1,9
10,11,25,14,1,20,30,16.7631,7.2678,uncertainty,7,1,3
11,12.1,16,17,7,32,26,18.3576,6.0255,uncertainty,7,1,4
12,13.2,18,4,18,11,12,10.6301,9.2767,uncertainty,7,1,2
13,14.3,15,6,0,11,15,9.8489,7.0482,uncertainty,7,1,9
14,15.4,25,26,7,32,26,7,6.8147,uncertainty,7,1,9
15,16.5,5,21,11,23,13,19.6977,6.7534,uncertainty,7,1,8
16,17.6,9,41,3,30,11,36.6197,6.6088,uncertainty,7,1,2
17,18.7,31,2,18,11,12,22.3607,6.2371,uncertainty,7,1,4
18,19.8,14,41,0,11,15,26.1725,6.8198,uncertainty,7,1,3
19,20.9,19,15,11,23,13,4.4721,7.4071,uncertainty,7,1,6
20,22,15,41,6,27,18,25.9422,8.4974,uncertainty,7,1,4
21,23.1,27,23,12,21,29,8.4853,6.1888,uncertainty,7,1,4
22,24.2,31,0,12,21,29,30.6757,5.6612,uncertainty,7,1,10
23,25.3,28,39,11,23,13,26.4764,6.4383,uncertainty,7,1,4
24,26.4,3,8,13,10,23,16.5529,8.0059,uncertainty,7,1,2
25,27.5,23,44,8,30,19,25.9615,6.1816,uncertainty,7,1,3
26,28.6,40,39,15,21,14,31.4006,8.2724,uncertainty,7,1,5
27,29.7,21,37,10,16,39,5.3852,6.9877,uncertainty,7,1,8
28,30.8,43,18,6,27,18,16,6.5483,uncertainty,7,1,3
29,31.9,6,17,1,20,30,19.105,4.6639,uncertainty,7,1,9
30,33,15,11,15,21,14,6.7082,5.8976,uncertainty,7,1,4
31,34.1,1,49,11,23,13,42.19,8.2496,uncertainty,7,1,4
32,35.2,16,45,18,11,12,33.3766,7.8566,uncertainty,7,1,4
33,36.3,22,15,3,30,11,8.9443,8.2651,uncertainty,7,1,8
34,37.4,43,21,18,11,12,33.2415,7.7764,uncertainty,7,1,5
35,38.5,2,23,17,28,23,26,7.7838,uncertainty,7,1,4
36,39.6,49,4,9,13,32,45.607,7.4525,uncertainty,7,1,6
37,40.7,46,8,18,11,12,35.2278,6.16,uncertainty,7,1,10
38,41.8,16,31,3,30,11,24.4131,4.9513,uncertainty,7,1,7
39,42.9,36,25,18,11,12,28.178,7.6068,uncertainty,7,1,7
40,44,29,4,16,37,33,30.0832,5.4393,uncertainty,7,1,10
41,45.1,3,41,4,26,38,23.1948,8.675,uncertainty,7,1,5
42,46.2,2,14,14,36,39,42.2019,7.5119,uncertainty,7,1,8
43,47.3,0,42,16,37,33,38.0789,8.8204,uncertainty,7,1,5
44,48.4,28,10,8,30,19,9.2195,5.9008,uncertainty,7,1,5
45,49.5,46,18,12,21,29,27.313,8.5053,uncertainty,7,1,8
46,50.6,8,1,1,20,30,31.3847,7.7208,uncertainty,7,1,5
47,51.7,45,25,2,25,12,23.8537,8.5938,uncertainty,7,1,2
48,52.8,31,18,8,30,19,1.4142,7.7751,uncertainty,7,1,10
49,53.9,29,23,4,26,38,15.2971,8.3587,uncertainty,7,1,3
50,55,40,14,18,11,12,29.0689,5.9809,uncertainty,7,1,3
51,56.1,35,37,16,37,33,4.4721,7.3169,uncertainty,7,1,9
52,57.2,21,4,17,28,23,20.2485,6.6079,uncertainty,7,1,2
53,58.3,4,10,6,27,18,24.3516,5.89,uncertainty,7,1,4
54,59.4,37,47,7,32,26,21.587,9.4643,uncertainty,7,1,9
55,60.5,2,3,16,37,33,46.0977,6.5039,uncertainty,7,1,2
56,61.6,9,12,17,28,23,21.9545,5.8614,uncertainty,7,1,8
57,62.7,39,33,10,16,39,23.7697,7.3055,uncertainty,7,1,6
58,63.8,45,25,11,23,13,25.0599,5.6009,uncertainty,7,1,8
59,64.9,36,39,13,10,23,30.5287,7.5801,uncertainty,7,1,2
60,66,6,24,16,37,33,32.28,4.8735,uncertainty,7,1,4
61,67.1,43,44,10,16,39,27.4591,6.0867,uncertainty,7,1,5
62,68.2,18,35,1,20,30,5.3852,7.2072,uncertainty,7,1,3
63,69.3,37,5,14,36,39,34.0147,6.7155,uncertainty,7,1,10
64,70.4,38,1,13,10,23,35.609,7.3033,uncertainty,7,1,3
65,71.5,32,18,15,21,14,11.7047,7.7698,uncertainty,7,1,4
66,72.6,38,11,11,23,13,15.1327,8.1985,uncertainty,7,1,4
67,73.7,37,24,11,23,13,17.8045,7.1804,uncertainty,7,1,5
68,74.8,34,26,5,18,25,16.0312,7.845,uncertainty,7,1,7
69,75.9,1,24,5,18,25,17.0294,7.2958,uncertainty,7,1,9
70,77,27,33,2,25,12,21.095,7.073,uncertainty,7,1,5
71,78.1,33,7,11,23,13,11.6619,7.4075,uncertainty,7,1,10
72,79.2,4,31,8,30,19,28.6356,7.0093,uncertainty,7,1,7
73,80.3,29,1,14,36,39,38.6394,7.5087,uncertainty,7,1,10
74,81.4,0,37,8,30,19,34.9857,6.1072,uncertainty,7,1,10
75,82.5,31,21,7,32,26,5.099,7.6824,uncertainty,7,1,3
76,83.6,31,7,3,30,11,4.1231,7.9241,uncertainty,7,1,6
77,84.7,27,29,7,32,26,5.831,6.4435,uncertainty,7,1,7
78,85.8,4,18,7,32,26,29.1204,6.2165,uncertainty,7,1,9
79,86.9,30,11,18,11,12,19.0263,6.114,uncertainty,7,1,9
80,88,24,35,16,37,33,13.1529,8.4131,uncertainty,7,1,5
81,89.1,16,43,7,32,26,23.3452,4.1221,uncertainty,7,1,5
82,90.2,16,20,18,11,12,9.434,7.0926,uncertainty,7,1,3
83,91.3,15,32,17,28,23,15.8114,5.9658,uncertainty,7,1,9
84,92.4,27,43,14,36,39,9.8489,3.4798,uncertainty,7,1,3
85,93.5,19,10,10,16,39,29.1548,8.5597,uncertainty,7,1,4
86,94.6,25,6,19,24,33,27.0185,7.4461,uncertainty,7,1,9
87,95.7,44,7,14,36,39,32.9848,6.9876,uncertainty,7,1,3
88,96.8,30,38,11,23,13,25.9615,6.9635,uncertainty,7,1,2
89,97.9,28,23,0,11,15,18.7883,5.1128,uncertainty,7,1,3
90,99,44,31,18,11,12,38.0789,6.0812,uncertainty,7,1,10
91,100.1,0,13,15,21,14,21.0238,7.433,uncertainty,7,1,5
92,101.2,8,38,13,10,23,15.1327,6.9224,uncertainty,7,1,5
93,102.3,33,11,0,11,15,22.3607,8.361,uncertainty,7,1,2
94,103.4,45,16,6,27,18,18.1108,7.2393,uncertainty,7,1,8
95,104.5,21,38,7,32,26,16.2788,9.187,uncertainty,7,1,9
96,105.6,13,48,4,26,38,16.4012,6.1734,uncertainty,7,1,5
97,106.7,32,28,11,23,13,17.4929,7.0478,uncertainty,7,1,10
98,107.8,10,46,15,21,14,33.8378,7.2401,uncertainty,7,1,5
99,108.9,49,37,17,28,23,25.2389,5.8141,uncertainty,7,1,9
100,110,43,37,10,16,39,27.074,6.228,uncertainty,7,1,4
101,111.1,37,48,16,37,33,15,6.0525,uncertainty,7,1,7
102,112.2,23,5,11,23,13,8,7.4301,uncertainty,7,1,2
103,113.3,22,5,13,10,23,21.6333,7.1466,uncertainty,7,1,5
104,114.4,26,9,7,32,26,18.0278,7.9293,uncertainty,7,1,3
105,115.5,32,43,9,13,32,21.9545,7.5078,uncertainty,7,1,8
106,116.6,23,39,7,32,26,15.8114,5.8134,uncertainty,7,1,4
107,117.7,49,17,16,37,33,20,7.3023,uncertainty,7,1,3
108,118.8,47,31,1,20,30,27.0185,6.3945,uncertainty,7,1,2
109,119.9,11,43,1,20,30,15.8114,5.7948,uncertainty,7,1,5
