name,gen t,loc_x,loc_y,store,store_x,store_y,p2,cook_time,cook_time_type,cook_time_s,cook_time_e,service_time
0,0,27,18,9,24,28,10.4403,7.7158,uncertainty,7,1,6
1,1.1,31,45,1,21,22,25.0799,6.0627,uncertainty,7,1,4
2,2.2,47,7,9,24,28,31.1448,6.3268,uncertainty,7,1,7
3,3.3,48,34,19,22,27,26.9258,7.1572,uncertainty,7,1,2
4,4.4,33,29,13,24,27,9.2195,5.6271,uncertainty,7,1,6
5,5.5,48,33,13,24,27,24.7386,7.5139,uncertainty,7,1,3
6,6.6,15,28,12,20,25,5.831,7.5331,uncertainty,7,1,2
7,7.7,19,40,3,22,21,19.2354,7.612,uncertainty,7,1,10
8,8.8,46,13,6,25,20,22.1359,7.3589,uncertainty,7,1,6
9,9.9,41,36,11,27,21,20.5183,5.717,uncertainty,7,1,9
10,11,49,27,16,27,22,22.561,5.2532,uncertainty,7,1,4
11,12.1,23,20,2,24,25,5.099,5.7884,uncertainty,7,1,8
12,13.2,19,9,13,24,27,18.6815,9.4229,uncertainty,7,1,6
13,14.3,31,11,15,23,20,12.0416,6.4658,uncertainty,7,1,2
14,15.4,17,25,18,22,25,5,7.5347,uncertainty,7,1,7
15,16.5,32,18,7,22,27,13.4536,4.5911,uncertainty,7,1,5
16,17.6,40,36,10,25,21,21.2132,8.6577,uncertainty,7,1,8
17,18.7,43,20,5,21,27,23.0868,7.2807,uncertainty,7,1,7
18,19.8,26,33,12,20,25,10,7.1261,uncertainty,7,1,2
19,20.9,24,30,1,21,22,8.544,6.3074,uncertainty,7,1,7
20,22,11,43,15,23,20,25.9422,7.2498,uncertainty,7,1,8
21,23.1,4,9,15,23,20,21.9545,5.8617,uncertainty,7,1,7
22,24.2,37,7,19,22,27,25,7.6314,uncertainty,7,1,7
23,25.3,29,6,7,22,27,22.1359,6.6097,uncertainty,7,1,3
24,26.4,7,49,13,24,27,27.8029,7.0464,uncertainty,7,1,8
25,27.5,14,44,15,23,20,25.632,7.5135,uncertainty,7,1,2
26,28.6,45,13,2,24,25,24.1868,7.8872,uncertainty,7,1,7
27,29.7,40,28,17,26,20,16.1245,6.392,uncertainty,7,1,6
28,30.8,3,13,7,22,27,23.6008,7.7972,uncertainty,7,1,6
29,31.9,10,30,11,27,21,19.2354,9.3468,uncertainty,7,1,9
30,33,19,14,15,23,20,7.2111,5.7299,uncertainty,7,1,7
31,34.1,27,47,4,24,23,24.1868,7.8758,uncertainty,7,1,6
32,35.2,10,2,6,25,20,23.4307,6.7417,uncertainty,7,1,9
33,36.3,5,29,11,27,21,23.4094,7.0417,uncertainty,7,1,7
34,37.4,29,25,1,21,22,8.544,5.142,uncertainty,7,1,10
35,38.5,46,28,11,27,21,20.2485,8.2102,uncertainty,7,1,3
36,39.6,49,0,13,24,27,36.7967,8.4181,uncertainty,7,1,9
37,40.7,33,49,14,27,22,27.6586,6.5555,uncertainty,7,1,2
38,41.8,42,20,2,24,25,18.6815,6.6551,uncertainty,7,1,4
39,42.9,24,13,4,24,23,10,10.0071,uncertainty,7,1,5
40,44,40,11,12,20,25,24.4131,7.735,uncertainty,7,1,4
41,45.1,3,7,18,22,25,26.1725,7.2867,uncertainty,7,1,3
42,46.2,10,36,10,25,21,21.2132,7.8151,uncertainty,7,1,3
43,47.3,20,25,11,27,21,8.0623,7.3414,uncertainty,7,1,2
44,48.4,30,36,5,21,27,12.7279,5.9242,uncertainty,7,1,6
45,49.5,49,0,15,23,20,32.8024,7.3763,uncertainty,7,1,6
46,50.6,47,49,2,24,25,33.2415,5.9338,uncertainty,7,1,2
47,51.7,16,47,6,25,20,28.4605,8.0956,uncertainty,7,1,7
48,52.8,15,0,4,24,23,24.6982,5.422,uncertainty,7,1,9
49,53.9,11,21,10,25,21,14,6.9349,uncertainty,7,1,10
